IDs,BIC,params_1,params_2,params_3,params_4
5590a34cfdf99b729d4f69dc,23.052126329431,0.454221792022918,4.9408766870111,13.9077180498138,0.00105365904852876
567dd32b4f0ef30006dbb718,16.8017911976374,0.582375977932343,6.18636238702345,15.3065448548893,0.0012402789355878
5971640e7ec240000170cb69,16.9651072944146,0.293865708432584,6.30700992702651,11.931267675232,0.00219861427389102
5b6c312fa1fda800015fe165,16.8550398212204,0.483933280556125,6.35081522285687,14.1198218030825,0.00146965179420454
5ce6fbd9a76bf00019cfd467,27.9031373230025,0.611610313221162,4.3006989611288,15.7787774919267,0.000640964971541222
5dd00a19b51b3e103a6f50c8,31.0560284142138,0.389652821038124,3.11574257410105,13.711628621678,0.00327001714764983
5e20a27f25a4d03b9ee10bc6,16.8772389354812,0.484692458108855,6.42423991862996,14.1126893285674,0.00141059254751395
5e3c79de24984505f37d3903,17.6841041496047,0.719394512954485,6.08240651276316,16.9415772897132,0.00296035580068988
5ea63c8ef78a7164acfa7599,38.8514666163411,0.539616932768494,2.59001127180907,15.258669942116,0.00119825765068849
5f9a25f467c68d13eaa9cc5c,16.8680735187112,0.388407576742305,6.25431534271247,13.0111555823996,0.00174728784652239
605776c7ffd8cb64476fc73f,39.6738598583232,0.443035425452871,2.291462974099,14.3254507759811,0.0010146710741485
62839ba4a4ace124f3a3889c,16.8477038634631,0.484480992956798,6.33034229684438,14.1335647696672,0.00149287171862733
62cba72839d35cbf953cdd6f,16.8588171408375,0.388943550980893,6.23447112818454,13.0280493300511,0.00179838902287555
630d42ab004b0f34fcf4b52e,16.7655693201414,0.670163313467836,5.91159214307284,16.3567154654602,0.00105193971350872
631852710b123742dcc28cb8,29.1905365063729,0.358725087112643,3.28161053752387,13.7153054016508,0.0218914418341001
