,participant,offer,choice_b,choice_rt,stim
340,812,8.0,0,1.0326724000042304,post
341,812,5.0,0,1.0722518999828026,post
342,812,1.0,1,1.3658762999693863,post
343,812,9.0,0,1.3443939000135288,post
344,812,3.0,1,1.4158856999711134,post
345,812,5.0,0,2.685820100014098,post
346,812,9.0,0,1.384007999964524,post
347,812,1.0,1,2.5301705000456423,post
348,812,8.0,0,2.88084009999875,post
349,812,6.0,0,7.016753099975176,post
350,812,4.0,1,1.138625200022943,post
351,812,7.0,0,10.3893055000226,post
352,812,7.0,0,0.7979638999677263,post
353,812,4.0,1,0.878929500002414,post
354,812,4.0,1,1.3393445999827236,post
355,812,8.0,0,1.1400220000068657,post
356,812,5.0,0,0.9658818999887444,post
357,812,3.0,1,1.2165697000455111,post
358,812,4.0,1,1.4775472999899648,post
359,812,2.0,1,0.9932169000385328,post
390,814,5.0,0,1.6252917000001617,post
391,814,2.0,1,1.41099419999955,post
392,814,5.0,0,0.614093000000139,post
393,814,5.0,0,0.9456988000001728,post
394,814,3.0,0,1.1764258000002883,post
395,814,9.0,0,0.8653178999993543,post
396,814,6.0,0,1.0307045000008657,post
397,814,8.0,0,0.7437923999987106,post
398,814,4.0,0,1.251870100000815,post
399,814,8.0,0,0.680527800001073,post
400,814,1.0,1,1.0530515999998895,post
401,814,7.0,0,0.8936395999990054,post
402,814,4.0,0,0.6477799999993294,post
403,814,6.0,0,5.475267799998619,post
404,814,2.0,1,1.1159462000014173,post
405,814,5.0,0,0.8062941999996838,post
406,814,3.0,0,1.48541429999932,post
407,814,8.0,0,0.8343447000006563,post
408,814,5.0,0,1.1521924999997282,post
409,814,5.0,0,1.3223427000011725,post
410,814,6.0,0,2.649235200000476,post
411,814,7.0,0,1.017300800000157,post
412,814,4.0,0,1.0356363999999303,post
413,814,7.0,0,0.8549368000003597,post
414,814,9.0,0,0.6909899999991467,post
415,814,4.0,0,0.6078467999996064,post
416,814,6.0,0,2.795618199999808,post
417,814,3.0,0,1.3959696999991138,post
418,814,1.0,1,1.1322053999992931,post
419,814,2.0,1,1.3595943999989686,post
450,815,5.0,1,3.2135899999993853,post
451,815,4.0,1,1.777108500000395,post
452,815,2.0,1,4.246121500000299,post
453,815,5.0,1,1.581836700001077,post
454,815,3.0,1,1.5125129999996716,post
455,815,6.0,0,2.960554699999193,post
456,815,5.0,1,2.218625299999985,post
457,815,9.0,0,1.967710199998692,post
458,815,8.0,0,3.839199899999585,post
459,815,6.0,0,2.2495732999996108,post
460,815,9.0,0,2.629931100000249,post
461,815,6.0,0,2.6713433999993867,post
462,815,7.0,0,3.4837499000004755,post
463,815,1.0,1,1.802140399999189,post
464,815,7.0,0,2.2444105000013224,post
465,815,4.0,1,2.7415531000006013,post
466,815,8.0,0,5.244357300000047,post
467,815,5.0,1,3.115409500000169,post
468,815,4.0,1,2.130111599999509,post
469,815,6.0,0,1.7132803999993484,post
470,815,3.0,1,2.787439899999299,post
471,815,2.0,1,2.7593864999998914,post
472,815,1.0,1,1.7790991999991093,post
473,815,2.0,1,2.080149100000199,post
474,815,5.0,1,2.2436797999998817,post
475,815,7.0,0,2.3153041999994457,post
476,815,4.0,1,2.7440243999990344,post
477,815,3.0,1,1.3373907000004692,post
478,815,8.0,0,1.6114132000002428,post
479,815,5.0,1,2.449441000000661,post
